"eventId","id","name","order"
54880,1,"Division 1",1
55032,1,"Division 1",1
52725,1,"Division 1",1
55405,1,"Division 1",1
52726,1,"Division 1",1
52361,1,"Division 1",1
52360,1,"Division 1",1
54763,1,"Division 1",1
51849,1,"Blue Division",1
51849,2,"Red Division",2
51849,100,"Middle School IQ Tournament Championship",100
53326,1,"Orange Division",1
53326,2,"Green Division",2
53326,100,"Elementary School IQ Tournament Championship",100
55288,1,"Division 1",1
52546,1,"Moon",1
52546,2,"Sun",2
52547,1,"Totality",1
54718,1,"Default",1
54961,1,"Division 1",1
55429,1,"Division 1",1
55239,1,"Division 1",1
55501,1,"Division 1",1
54334,1,"Division 1",1
55502,1,"Default",1
53693,1,"Opportunity",1
53693,2,"Research",2
53693,3,"Innovate",3
53693,4,"Spirit",4
53693,5,"Design",5
53693,6,"Middle School",6
53694,1,"Math",1
53694,2,"Engineering",2
53694,3,"Technology",3
53694,4,"Science",4
53694,5,"Arts",5
53694,6,"Elementary School",6
54504,1,"Default",1
55464,1,"Default",1
55404,1,"Default",1
